Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Malawi,MWI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,7.64%,.67%,-1.39%,2.66%,13.62%,13.25%,7.28%,-1.92%,5.88%,.48%,16.22%,6.23%,2.3%,7.18%,6.09%,5.%,4.92%,9.75%,4.4%,.41%,-5.29%,2.5%,3.72%,5.36%,4.57%,-.21%,1.63%,3.18%,1.34%,5.69%,8.73%,-7.33%,9.69%,-10.24%,16.73%,7.32%,3.79%,3.9%,3.04%,1.58%,-4.97%,1.7%,5.71%,5.42%,3.27%,4.7%,9.6%,7.64%,8.33%,6.87%,4.93%,1.9%,5.41%,5.63%,2.8%,2.5%,4.%,4.35%,5.72%,.79%,4.56%,.92%,1.89%
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,7.6%,6.42%,7.34%,5.36%,7.68%,7.82%,3.86%,7.98%,4.89%,5.99%,10.03%,9.39%,11.7%,8.32%,.8%,11.56%,7.75%,6.65%,9.35%,7.44%,6.94%,5.94%,6.25%,7.76%,-1.03%,1.24%,5.19%,9.94%,9.06%,9.01%,9.55%,8.89%,9.89%,9.21%,9.83%,10.%,7.32%,-7.36%,6.14%,8.86%,.52%,5.39%,5.79%,6.78%,5.33%,5.58%,6.3%,4.83%,-1.51%,7.42%,5.29%,5.47%,4.69%,6.01%,5.09%,4.45%,5.81%,4.84%,4.41%,-5.46%,3.32%,8.86%,3.56%
North America,NAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.37%,6.2%,4.47%,5.87%,6.39%,6.52%,2.55%,4.81%,3.25%,.43%,3.35%,5.28%,5.73%,-.22%,-.05%,5.43%,4.53%,5.38%,3.21%,-.04%,2.61%,-1.93%,4.41%,7.12%,4.21%,3.35%,3.51%,4.2%,3.56%,1.74%,-.27%,3.31%,2.74%,4.06%,2.69%,3.61%,4.43%,4.44%,4.82%,4.16%,1.03%,1.8%,2.72%,3.79%,3.46%,2.77%,2.01%,.18%,-2.6%,2.72%,1.69%,2.24%,2.13%,2.55%,2.76%,1.76%,2.5%,2.95%,2.53%,-2.39%,6.%,2.61%,2.76%
Namibia,NAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,.97%,-.4%,-1.82%,-.24%,.46%,4.77%,3.55%,.81%,1.86%,2.05%,8.17%,7.19%,-1.58%,1.73%,3.9%,3.19%,4.22%,3.29%,3.37%,3.49%,1.18%,4.79%,4.24%,12.27%,2.53%,7.07%,5.37%,2.65%,.3%,6.04%,5.09%,5.06%,5.61%,6.09%,4.26%,.03%,-1.03%,1.06%,-.84%,-8.1%,3.6%,5.35%,4.16%
New Caledonia,NCL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,-3.85%,5.4%,14.26%,15.72%,31.%,7.%,3.4%,-11.2%,12.7%,6.5%,2.3%,1.9%,9.8%,-13.6%,-.4%,-7.%,2.4%,-2.%,1.8%,4.5%,-1.%,5.7%,34.6%,11.%,3.6%,4.9%,.52%,.53%,2.59%,5.94%,.45%,2.01%,-3.2%,.9%,2.1%,,,,,,,,,,,,,,,,,,4.%,-1.4%,-2.4%,-2.1%,3.5%,
Niger,NER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.55%,10.28%,9.43%,.13%,6.92%,-.38%,.12%,.38%,-5.49%,3.06%,5.68%,-5.17%,-17.05%,8.78%,-2.79%,.68%,7.76%,13.47%,7.15%,-2.46%,-.18%,2.17%,-3.86%,-16.82%,7.72%,6.35%,.09%,6.87%,.96%,-1.31%,-.44%,2.%,.32%,1.85%,2.46%,.1%,1.53%,9.97%,-.22%,-1.21%,7.27%,4.92%,2.17%,.36%,7.33%,5.93%,3.14%,7.73%,1.96%,8.58%,2.36%,10.55%,5.32%,6.64%,4.39%,5.74%,5.01%,7.21%,5.94%,3.55%,1.38%,11.9%,2.5%
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,.19%,4.1%,8.58%,4.95%,4.88%,-4.25%,-15.74%,-1.25%,24.2%,25.01%,14.24%,3.36%,5.39%,11.16%,-5.23%,9.04%,6.02%,-5.76%,6.76%,4.2%,-13.13%,-6.8%,-10.92%,-1.12%,5.91%,.06%,3.2%,7.33%,1.92%,11.78%,.36%,4.63%,-2.04%,-1.81%,-.07%,4.2%,2.94%,2.58%,.58%,5.02%,5.92%,15.33%,7.35%,9.25%,6.44%,6.06%,6.59%,6.76%,8.04%,8.01%,5.31%,4.23%,6.67%,6.31%,2.65%,-1.62%,.81%,1.92%,2.21%,-1.79%,3.65%,3.25%,2.86%
Nicaragua,NIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,7.5%,10.89%,10.87%,11.7%,9.53%,3.3%,6.97%,1.34%,6.24%,1.35%,3.3%,2.22%,6.42%,14.19%,-.15%,5.21%,8.37%,-7.84%,-26.48%,4.61%,5.36%,-.82%,4.61%,-1.57%,-4.08%,-1.02%,-.71%,-12.45%,-1.74%,-.05%,-.19%,.39%,-.39%,3.34%,5.91%,6.34%,3.97%,3.71%,7.04%,4.1%,2.96%,.75%,2.52%,5.31%,4.28%,4.15%,5.08%,3.43%,-3.29%,4.41%,6.32%,6.5%,4.93%,4.79%,4.79%,4.56%,4.63%,-3.36%,-2.9%,-1.76%,10.32%,3.75%,4.57%
Netherlands,NLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,.3%,6.84%,3.62%,8.27%,8.64%,2.74%,5.28%,6.42%,6.43%,6.14%,4.32%,3.53%,5.44%,3.44%,.%,4.46%,2.52%,2.7%,2.01%,1.34%,-.78%,-1.24%,2.07%,3.06%,2.58%,2.79%,1.93%,3.44%,4.42%,4.18%,2.44%,1.71%,1.26%,2.96%,3.12%,3.42%,4.25%,4.65%,5.04%,4.22%,2.32%,.25%,.1%,2.02%,2.03%,3.54%,3.89%,2.12%,-3.67%,1.32%,1.77%,-.98%,-.03%,1.61%,2.12%,2.42%,2.78%,2.26%,2.3%,-3.87%,6.28%,5.01%,.07%
Norway,NOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.27%,2.81%,3.79%,5.01%,5.29%,3.79%,6.26%,2.26%,4.5%,1.94%,5.67%,5.33%,4.53%,3.92%,4.95%,5.83%,4.16%,3.87%,4.37%,4.56%,1.6%,.24%,3.97%,6.05%,5.55%,4.04%,1.75%,-.26%,1.04%,1.93%,3.08%,3.57%,2.85%,5.06%,4.16%,5.03%,5.28%,2.67%,2.07%,3.32%,2.07%,1.38%,.94%,4.01%,2.69%,2.46%,2.91%,.48%,-1.94%,.79%,1.11%,2.72%,1.02%,2.05%,1.86%,1.16%,2.46%,.83%,1.12%,-1.28%,3.91%,3.01%,.48%
Nepal,NPL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.91%,1.91%,1.9%,7.53%,-1.2%,7.04%,-1.57%,.68%,4.46%,2.58%,-1.2%,3.12%,-.48%,6.33%,1.46%,4.4%,3.02%,4.41%,2.37%,-2.32%,8.34%,3.78%,-2.98%,9.68%,6.14%,4.57%,1.7%,7.7%,4.33%,4.64%,6.37%,4.11%,3.85%,8.22%,3.47%,5.33%,5.05%,3.02%,4.41%,6.2%,4.8%,.12%,3.95%,4.68%,3.48%,3.36%,3.41%,6.1%,4.53%,4.82%,3.42%,4.67%,3.53%,6.01%,3.98%,.43%,8.98%,7.62%,6.66%,-2.37%,4.84%,5.63%,1.95%
Nauru,NRU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,2.9%,2.9%,2.9%,2.9%,2.9%,-2.82%,-2.82%,-2.82%,-2.82%,-2.82%,-2.82%,-2.82%,-2.82%,-2.82%,-2.82%,-2.82%,-2.82%,-2.82%,-2.82%,-2.82%,-18.99%,-16.26%,-16.12%,-3.87%,-7.92%,-11.86%,-8.95%,-11.79%,-6.57%,-6.86%,-6.76%,-9.97%,.28%,-4.31%,-.36%,8.33%,-22.19%,20.38%,-5.65%,-.16%,14.39%,25.28%,3.65%,16.42%,2.7%,4.36%,-6.01%,-1.22%,8.49%,1.98%,7.21%,3.02%,.59%
New Zealand,NZL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.32%,3.08%,6.1%,6.1%,6.11%,6.25%,-4.59%,-.05%,10.19%,-1.4%,3.79%,5.12%,7.8%,5.99%,-1.73%,.93%,-3.94%,.32%,2.19%,1.28%,4.66%,.93%,3.49%,4.79%,1.62%,2.71%,.97%,-.35%,.16%,.15%,-1.09%,1.09%,6.39%,5.12%,4.72%,3.61%,2.08%,.86%,5.38%,2.87%,3.41%,4.71%,4.73%,4.09%,3.35%,2.78%,3.05%,-1.24%,-.05%,1.44%,2.24%,2.29%,2.76%,3.75%,3.73%,3.75%,3.4%,3.5%,2.36%,-.42%,4.55%,2.77%,.73%
OECD members,OED,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.4%,5.55%,5.09%,6.44%,5.46%,5.55%,3.82%,5.95%,5.52%,2.77%,3.76%,5.38%,6.06%,1.11%,.11%,4.73%,3.76%,4.39%,3.92%,1.26%,2.15%,.15%,2.87%,4.73%,3.7%,3.02%,3.54%,4.53%,3.78%,2.94%,1.16%,2.09%,1.41%,3.24%,2.68%,3.11%,3.64%,3.03%,3.44%,4.1%,1.41%,1.54%,2.04%,3.27%,2.84%,3.05%,2.59%,.38%,-3.39%,2.95%,1.9%,1.37%,1.62%,2.18%,2.52%,1.84%,2.57%,2.34%,1.86%,-3.9%,5.92%,3.03%,1.82%
Oman,OMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.14%,20.19%,4.53%,.07%,100447998.4%,5.2%,66.22%,81.89%,25.67%,13.9%,.9%,9.83%,-14.25%,11.5%,24.43%,20.54%,1.01%,-3.69%,4.33%,6.04%,17.05%,11.57%,16.67%,16.71%,14.01%,2.%,-3.44%,5.96%,11.76%,-.13%,6.07%,8.41%,6.04%,3.88%,5.%,3.05%,6.03%,-.07%,.3%,6.19%,4.61%,-.78%,-2.19%,1.99%,2.78%,4.67%,4.98%,8.95%,5.98%,2.47%,2.89%,8.86%,5.23%,1.29%,5.02%,5.05%,.3%,1.29%,-1.13%,-3.38%,2.58%,9.58%,1.31%
Other small states,OSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,18.93%,10.68%,6.38%,12.64%,-1.82%,-7.24%,1.03%,1.96%,3.1%,.72%,1.84%,6.82%,3.81%,2.42%,5.11%,1.13%,-1.61%,2.46%,2.26%,4.28%,3.4%,5.89%,3.68%,2.89%,7.06%,3.06%,3.48%,4.58%,4.89%,4.85%,6.34%,5.91%,1.92%,-3.59%,2.78%,3.07%,1.73%,1.81%,2.51%,3.27%,4.06%,5.14%,3.93%,3.84%,-5.86%,7.09%,4.89%,2.9%
Pakistan,PAK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.99%,4.48%,8.69%,7.57%,10.42%,5.79%,5.4%,7.23%,5.51%,11.35%,.47%,.81%,7.06%,3.54%,4.21%,5.16%,3.95%,8.05%,3.76%,10.22%,7.92%,6.54%,6.78%,5.07%,7.59%,5.5%,6.45%,7.63%,4.96%,4.46%,5.06%,7.71%,1.76%,3.74%,4.96%,4.85%,1.01%,2.55%,3.66%,4.26%,3.65%,2.59%,5.4%,7.83%,7.28%,6.05%,4.44%,2.12%,3.47%,1.5%,2.68%,3.03%,4.37%,4.12%,4.22%,6.57%,4.43%,6.15%,2.5%,-1.27%,6.51%,4.78%,-.04%
Panama,PAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.93%,8.24%,8.54%,4.43%,9.16%,7.58%,8.55%,6.98%,8.44%,6.96%,9.62%,4.58%,5.36%,2.45%,1.74%,1.66%,1.09%,9.79%,4.51%,13.08%,9.21%,5.35%,-4.49%,2.71%,4.94%,3.57%,-1.81%,-13.38%,1.56%,8.1%,9.42%,8.2%,5.46%,2.85%,1.75%,-5.77%,7.71%,8.39%,5.21%,4.21%,.95%,2.51%,5.1%,8.18%,8.28%,9.86%,13.15%,10.2%,1.61%,6.07%,11.91%,9.63%,6.32%,4.63%,5.27%,4.57%,5.74%,3.92%,3.1%,-17.82%,16.47%,10.77%,7.4%
Peru,PER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,7.35%,10.04%,4.33%,6.55%,5.62%,8.24%,3.85%,.15%,3.51%,3.37%,4.59%,3.48%,6.28%,9.39%,4.3%,1.45%,.35%,-2.64%,4.09%,5.94%,5.55%,-.22%,-10.41%,3.61%,2.06%,9.43%,9.73%,-9.44%,-12.31%,-4.98%,2.22%,-.54%,5.24%,12.31%,7.41%,2.8%,6.48%,-.39%,1.49%,2.69%,.62%,5.45%,4.17%,4.96%,6.29%,7.53%,8.52%,9.13%,1.1%,8.33%,6.33%,6.14%,5.85%,2.38%,3.25%,3.95%,2.52%,3.97%,2.24%,-10.93%,13.36%,2.73%,-.55%
Philippines,PHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.7%,4.85%,7.02%,3.4%,5.35%,4.44%,5.22%,5.04%,4.69%,3.69%,5.39%,5.43%,8.78%,3.39%,5.45%,8.78%,5.56%,5.19%,5.6%,5.2%,3.42%,3.7%,1.9%,-7.04%,-6.86%,3.51%,4.36%,6.7%,6.18%,3.08%,-.44%,.42%,2.18%,4.37%,4.63%,5.86%,5.19%,-.51%,3.35%,4.38%,3.05%,3.72%,5.09%,6.57%,4.94%,5.32%,6.52%,4.34%,1.45%,7.33%,3.86%,6.9%,6.75%,6.35%,6.35%,7.15%,6.93%,6.34%,6.12%,-9.52%,5.71%,7.58%,5.55%
Palau,PLW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,.13%,.34%,.2%,.11%,.03%,-.04%,1.43%,-.49%,-.37%,-.37%,-.37%,-.37%,1.93%,4.62%,5.44%,5.44%,5.44%,5.44%,5.44%,5.44%,4.91%,-6.4%,-12.3%,7.3%,10.9%,10.4%,2.3%,2.%,-5.4%,-2.6%,6.5%,5.02%,-3.22%,3.94%,3.41%,-.12%,1.75%,-5.49%,-7.26%,-.9%,5.12%,1.25%,-3.04%,4.77%,8.2%,-.44%,-3.26%,.11%,.2%,-6.%,-13.79%,-1.32%,1.88%
Papua New Guinea,PNG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.18%,6.37%,4.07%,8.57%,10.27%,5.81%,4.07%,4.36%,8.27%,10.84%,6.3%,5.64%,6.53%,2.61%,-.88%,-3.39%,.83%,8.55%,1.83%,-2.3%,-.27%,.35%,3.22%,-.35%,4.%,4.69%,2.77%,2.91%,-1.42%,-3.01%,9.55%,13.85%,18.2%,5.94%,-3.31%,7.73%,-3.9%,-3.77%,1.86%,-2.49%,-.12%,-.16%,2.16%,2.72%,6.34%,5.41%,7.82%,-.3%,6.8%,10.13%,1.11%,4.66%,3.82%,13.54%,6.58%,5.49%,3.53%,-.28%,4.48%,-3.17%,-.51%,5.71%,3.04%
Poland,POL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.02%,2.51%,3.74%,5.29%,7.93%,6.09%,6.36%,4.62%,4.7%,4.66%,1.23%,1.9%,3.52%,5.09%,3.26%,6.2%,6.76%,4.38%,2.62%,3.17%,5.26%,1.51%,.68%,3.92%,4.43%,3.03%,5.15%,6.25%,4.58%,-2.04%,6.93%,5.26%,.14%
Pre-demographic dividend,PRE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-.29%,6.13%,5.81%,4.69%,4.43%,1.17%,-5.79%,3.63%,11.38%,8.65%,9.42%,3.42%,4.11%,8.4%,-.39%,6.95%,4.7%,-.16%,5.74%,4.25%,-4.02%,-1.22%,-4.79%,.61%,3.62%,2.58%,3.9%,3.78%,1.36%,8.33%,-8.27%,2.33%,-.44%,.%,3.08%,5.61%,6.3%,6.97%,4.26%,5.56%,4.31%,5.95%,-.72%,11.96%,5.97%,6.22%,6.07%,6.38%,4.92%,6.56%,4.3%,4.27%,5.96%,5.37%,2.95%,2.41%,1.64%,2.58%,3.31%,-2.56%,3.2%,4.15%,2.13%
Puerto Rico,PRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,7.04%,8.32%,8.65%,7.06%,9.2%,7.5%,6.22%,5.18%,9.38%,8.4%,6.37%,7.17%,6.34%,2.92%,-.65%,6.24%,5.95%,6.93%,7.91%,4.24%,1.15%,-1.56%,-2.34%,5.93%,3.1%,4.98%,5.77%,5.89%,4.33%,-2.84%,2.3%,4.56%,4.64%,4.19%,4.55%,2.31%,4.88%,5.53%,5.39%,3.27%,6.31%,.92%,.05%,8.75%,-1.99%,-1.41%,-1.16%,-1.84%,-1.95%,-.41%,-.36%,.03%,-.31%,-1.19%,-1.05%,-1.26%,-2.89%,-4.36%,1.68%,-4.18%,.39%,3.57%,.56%
"Korea, Dem. People's Rep.",PRK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.53%,6.61%,5.87%,6.31%,7.47%,4.08%,7.54%,8.88%,2.12%,9.11%,6.63%,8.02%,11.2%,1.14%,-4.35%,6.9%,5.6%,2.82%,5.64%,4.59%,1.62%,2.14%,-.17%,-1.88%,2.81%,4.14%,6.38%,7.49%,6.44%,3.95%,4.37%,1.09%,-2.04%,.96%,4.28%,3.5%,4.4%,4.81%,3.91%,3.82%,1.94%,.77%,-.93%,1.79%,.78%,1.63%,2.51%,.32%,-3.12%,1.74%,-1.71%,-4.05%,-.98%,.74%,1.59%,2.%,3.31%,2.95%,2.75%,-8.2%,5.56%,6.99%,2.53%
Paraguay,PRY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.9%,3.3%,4.71%,4.21%,6.17%,1.99%,9.15%,4.53%,4.7%,5.55%,5.54%,6.63%,7.3%,8.38%,6.85%,7.53%,11.49%,12.03%,11.86%,11.71%,9.17%,-1.4%,-3.04%,2.82%,4.52%,4.96%,7.58%,5.92%,6.94%,4.12%,3.49%,1.7%,4.94%,5.32%,6.82%,1.57%,4.24%,.07%,-1.37%,-2.31%,-.83%,-.02%,4.32%,4.06%,2.13%,4.81%,5.42%,6.5%,-.26%,11.1%,4.29%,-.71%,8.29%,5.3%,2.96%,4.27%,4.81%,3.2%,-.4%,-.82%,4.02%,.18%,4.71%
West Bank and Gaza,PSE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.12%,1.21%,14.67%,14.33%,8.28%,-8.56%,-9.31%,-12.49%,14.02%,21.92%,11.29%,-1.%,3.79%,7.43%,8.59%,5.78%,9.6%,6.1%,4.7%,-.16%,3.72%,8.86%,1.42%,1.23%,1.36%,-11.32%,7.01%,4.08%,-5.41%
Pacific island small states,PSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,6.33%,5.43%,10.97%,3.08%,.42%,1.01%,3.31%,2.11%,8.54%,-3.36%,3.%,-3.24%,-1.16%,5.29%,-1.71%,5.29%,-2.02%,1.14%,4.52%,3.65%,-.54%,4.8%,1.87%,4.76%,4.4%,2.97%,-1.29%,1.42%,4.26%,-1.53%,.88%,2.01%,1.84%,3.99%,2.43%,2.34%,.13%,1.96%,-.58%,3.74%,3.84%,1.01%,3.23%,3.61%,3.71%,3.75%,4.03%,2.77%,1.15%,-10.14%,-2.7%,9.15%,5.41%
Post-demographic dividend,PST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.4%,5.58%,5.01%,6.36%,5.49%,5.5%,3.77%,5.85%,5.58%,2.68%,3.72%,5.3%,6.09%,.92%,-.06%,4.75%,3.78%,4.29%,3.82%,1.08%,1.96%,.19%,3.15%,4.8%,3.72%,3.18%,3.53%,4.67%,3.81%,2.7%,1.04%,1.91%,1.17%,3.16%,2.71%,2.93%,3.44%,2.83%,3.54%,4.05%,1.53%,1.53%,2.03%,3.21%,2.79%,2.94%,2.54%,.35%,-3.38%,2.89%,1.68%,1.23%,1.52%,2.01%,2.24%,1.79%,2.44%,2.24%,1.84%,-4.08%,5.64%,2.71%,1.86%
French Polynesia,PYF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,9.58%,-4.74%,14.93%,-2.69%,1.63%,12.%,-4.7%,7.8%,18.%,-4.9%,8.2%,2.08%,9.89%,3.93%,.48%,2.65%,1.7%,2.42%,2.36%,-1.17%,13.55%,1.27%,-3.6%,2.16%,.13%,3.66%,-1.46%,-1.3%,-1.67%,-.39%,-.67%,-.12%,1.73%,1.89%,3.25%,-.34%,.85%,2.13%,.97%,.31%,.89%,1.7%,.01%,-4.23%,-2.47%,-2.96%,-.93%,.4%,.59%,1.67%,2.37%,4.37%,1.83%,2.7%,-7.05%,2.09%,4.47%,
Qatar,QAT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,10.01%,11.08%,10.78%,5.94%,5.88%,8.35%,-7.31%,8.86%,5.23%,-1.02%,.9%,-6.87%,-1.83%,4.66%,-2.12%,5.34%,.04%,5.9%,6.22%,3.41%,-1.66%,11.33%,-1.33%,1.42%,2.4%,4.37%,30.01%,11.22%,4.28%,8.03%,3.9%,7.18%,3.72%,19.22%,7.49%,26.17%,17.99%,17.66%,11.96%,19.59%,13.38%,4.73%,5.56%,5.33%,4.75%,3.06%,-1.5%,1.23%,.69%,-3.56%,1.63%,4.19%,1.19%
Romania,ROU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.92%,-8.77%,1.53%,3.93%,6.23%,3.91%,-4.85%,-2.03%,-.38%,2.46%,5.22%,5.7%,2.34%,10.43%,4.67%,8.03%,7.23%,9.31%,-5.52%,-3.91%,4.5%,1.9%,.28%,4.12%,3.16%,2.86%,8.2%,6.12%,3.92%,-3.67%,5.55%,3.97%,2.4%
Russian Federation,RUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.%,-5.05%,-14.53%,-8.67%,-12.57%,-4.14%,-3.76%,1.4%,-5.3%,6.4%,10.%,5.1%,4.7%,7.3%,7.2%,6.4%,8.2%,8.5%,5.2%,-7.8%,4.5%,4.3%,4.02%,1.76%,.74%,-1.97%,.19%,1.83%,2.81%,2.2%,-2.65%,5.61%,-2.07%,3.6%
Rwanda,RWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-4.3%,11.33%,-9.82%,-12.46%,7.01%,7.01%,6.92%,7.01%,11.01%,6.%,1.21%,.26%,3.44%,1.41%,-2.11%,19.5%,1.99%,9.15%,11.87%,8.95%,5.44%,1.81%,5.98%,-4.24%,4.4%,5.47%,-.02%,4.5%,-.04%,-2.4%,-2.51%,5.87%,-8.11%,-50.25%,35.22%,12.75%,13.85%,8.86%,4.35%,8.37%,8.48%,13.19%,2.2%,7.45%,9.38%,9.23%,7.63%,11.16%,6.25%,7.33%,7.96%,8.64%,4.72%,6.17%,8.86%,5.97%,3.92%,8.52%,9.45%,-3.37%,10.86%,8.16%,8.24%
South Asia,SAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.21%,3.41%,5.29%,7.76%,-.54%,1.24%,6.11%,4.6%,5.78%,5.91%,.62%,-1.76%,3.88%,2.48%,6.88%,2.61%,6.22%,6.14%,-2.52%,6.52%,6.44%,3.86%,6.67%,4.25%,5.48%,4.83%,4.27%,8.37%,5.38%,5.4%,2.11%,5.81%,4.29%,5.92%,6.82%,6.71%,3.69%,5.45%,7.51%,4.11%,4.36%,3.72%,7.18%,7.55%,7.61%,7.62%,7.14%,3.3%,6.95%,7.37%,5.07%,5.38%,6.01%,6.85%,7.25%,7.78%,6.5%,6.33%,3.92%,-4.58%,8.76%,6.31%,6.78%
Saudi Arabia,SAU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,11.88%,11.92%,8.7%,8.78%,12.14%,8.18%,8.91%,7.66%,6.04%,52.59%,15.23%,18.79%,22.5%,16.1%,-5.49%,15.22%,5.89%,.17%,10.96%,5.8%,2.98%,-16.11%,-10.99%,-4.01%,-7.21%,1.01%,-3.13%,6.6%,.42%,9.43%,8.22%,4.58%,.38%,.95%,.31%,3.3%,2.65%,2.8%,-.63%,4.72%,.34%,-.69%,8.77%,8.63%,5.94%,3.31%,2.21%,6.24%,-1.07%,5.04%,10.99%,5.41%,2.53%,3.81%,4.51%,1.88%,.91%,3.2%,1.1%,-3.58%,5.08%,7.49%,-.75%
Sudan,SDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,.02%,6.92%,-2.85%,-1.12%,6.78%,-3.58%,1.42%,1.96%,1.39%,5.93%,2.25%,-5.07%,.63%,11.45%,15.71%,16.67%,6.22%,-5.93%,-5.02%,1.52%,7.44%,5.96%,2.06%,-5.01%,-6.28%,5.41%,14.22%,-.33%,8.93%,-5.47%,7.51%,6.58%,4.57%,1.01%,6.%,5.92%,18.31%,4.31%,3.1%,6.35%,6.5%,6.01%,6.29%,5.14%,5.64%,6.53%,5.74%,3.85%,-2.77%,3.86%,-3.21%,-17.%,1.96%,4.66%,1.91%,3.47%,.71%,-2.68%,-2.18%,-3.63%,-1.87%,-.96%,-20.11%
Senegal,SEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.99%,-.14%,1.86%,3.88%,1.33%,2.88%,-1.22%,6.29%,-6.55%,8.56%,-.14%,6.38%,-5.58%,4.2%,7.54%,8.92%,-2.68%,-3.95%,7.%,3.99%,5.18%,8.01%,-5.65%,3.94%,3.46%,3.13%,6.26%,-.82%,3.97%,-.75%,2.66%,1.32%,1.36%,-.05%,5.47%,2.02%,3.05%,5.9%,6.28%,3.89%,4.31%,.07%,5.59%,4.64%,4.31%,2.33%,2.83%,3.7%,2.75%,3.39%,1.33%,4.%,2.41%,6.22%,6.37%,6.36%,7.41%,6.21%,4.61%,1.34%,6.54%,3.83%,4.58%
